ID0[0] PRI_INPUT (3086,786)
In 183th Iteration, Delay Improved to: 5.8179e-08ns
In 184th Iteration, Delay Improved this time by changing: input magnet(s) of n475 To: 4.11e-08m
In 184th Iteration, Delay Improved to: 5.81738e-08ns
In 185th Iteration, Delay Improved this time by changing: output magnet(s) of n404 To: 4.11e-08m
In 185th Iteration, Delay Improved to: 5.81503e-08ns
In 186th Iteration, Delay Improved this time by changing: input magnet(s) of n545 To: 4.11e-08m
In 186th Iteration, Delay Improved to: 5.81501e-08ns
In 187th Iteration, Delay Improved this time by changing: input magnet(s) of n496 To: 4.11e-08m
In 187th Iteration, Delay Improved to: 5.81254e-08ns
In 188th Iteration, Delay Improved this time by changing: output magnet(s) of Buffer_ID29[29]_3_n395 To: 4.11e-08m
In 188th Iteration, Delay Improved to: 5.81204e-08ns
In 189th Iteration, Delay Improved this time by changing: output magnet(s) of Buffer_n525_2_n526 To: 4.11e-08m
In 189th Iteration, Delay Improved to: 5.81035e-08ns
In 190th Iteration, Delay Improved this time by changing: input magnet(s) of n582 To: 4.11e-08m
In 190th Iteration, Delay Improved to: 5.80578e-08ns
In 191th Iteration, Delay Improved this time by changing: output magnet(s) of Buffer_n600_1_n610 To: 4.11e-08m
In 191th Iteration, Delay Improved to: 5.80347e-08ns
In 192th Iteration, Delay Improved this time by changing: output magnet(s) of n270 To: 4.11e-08m
In 192th Iteration, Delay Improved to: 5.80119e-08ns
In 193th Iteration, Delay Improved this time by changing: output magnet(s) of Buffer_n556_1_n591 To: 4.11e-08m
In 193th Iteration, Delay Improved to: 5.8008e-08ns
In 194th Iteration, Delay Improved this time by changing: input magnet(s) of n279 To: 4.11e-08m
In 194th Iteration, Delay Improved to: 5.79894e-08ns
In 195th Iteration, Delay Improved this time by changing: output magnet(s) of Buffer_ID13[13]_5_n189 To: 4.11e-08m
In 195th Iteration, Delay Improved to: 5.79889e-08ns
In 196th Iteration, Delay Improved this time by changing: output magnet(s) of n156 To: 4.11e-08m
In 196th Iteration, Delay Improved to: 5.78277e-08ns
In 197th Iteration, Delay Improved this time by changing: output magnet(s) of Buffer_n556_0_n595 To: 4.11e-08m
In 197th Iteration, Delay Improved to: 5.78167e-08ns
In 198th Iteration, Delay Improved this time by changing: output magnet(s) of Buffer_ID13[13]_6_n189 To: 4.11e-08m
In 198th Iteration, Delay Improved to: 5.78146e-08ns
In 199th Iteration, Delay Improved this time by changing: output magnet(s) of Buffer_ID15[15]_0_n194 To: 4.11e-08m
In 199th Iteration, Delay Improved to: 5.77884e-08ns
In 200th Iteration, Delay Improved this time by changing: output magnet(s) of n582 To: 4.11e-08m
In 200th Iteration, Delay Improved to: 5.77299e-08ns
In 201th Iteration, Delay Improved this time by changing: output magnet(s) of Buffer_n600_2_n610 To: 4.11e-08m
In 201th Iteration, Delay Improved to: 5.76808e-08ns
In 202th Iteration, Delay Improved this time by changing: output magnet(s) of Buffer_n556_2_n591 To: 4.11e-08m
In 202th Iteration, Delay Improved to: 5.76668e-08ns
In 203th Iteration, Delay Improved this time by changing: output magnet(s) of Buffer_n556_1_n595 To: 4.11e-08m
In 203th Iteration, Delay Improved to: 5.76554e-08ns
In 204th Iteration, Delay Improved this time by changing: output magnet(s) of n279 To: 4.11e-08m
In 204th Iteration, Delay Improved to: 5.7644e-08ns
In 205th Iteration, Delay Improved this time by changing: output magnet(s) of n189 To: 4.11e-08m
In 205th Iteration, Delay Improved to: 5.76383e-08ns
In 206th Iteration, Delay Improved this time by changing: output magnet(s) of Buffer_ID15[15]_1_n194 To: 4.11e-08m
In 206th Iteration, Delay Improved to: 5.76188e-08ns
In 207th Iteration, Delay Improved this time by changing: output magnet(s) of n576 To: 4.11e-08m
In 207th Iteration, Delay Improved to: 5.75632e-08ns
In 208th Iteration, Delay Improved this time by changing: output magnet(s) of Buffer_n156_0_n462 To: 4.11e-08m
In 208th Iteration, Delay Improved to: 5.75569e-08ns
In 209th Iteration, Delay Improved this time by changing: output magnet(s) of Buffer_n184_0_n512 To: 4.11e-08m
In 209th Iteration, Delay Improved to: 5.75514e-08ns
In 210th Iteration, Delay Improved this time by changing: output magnet(s) of Buffer_n582_0_n638 To: 4.11e-08m
In 210th Iteration, Delay Improved to: 5.75356e-08ns
In 211th Iteration, Delay Improved this time by changing: input magnet(s) of n610 To: 4.11e-08m
In 211th Iteration, Delay Improved to: 5.75137e-08ns
In 212th Iteration, Delay Improved this time by changing: output magnet(s) of Buffer_n277_0_n298 To: 4.11e-08m
In 212th Iteration, Delay Improved to: 5.74981e-08ns
In 213th Iteration, Delay Improved this time by changing: output magnet(s) of Buffer_n189_0_n196 To: 4.11e-08m
In 213th Iteration, Delay Improved to: 5.74833e-08ns
In 214th Iteration, Delay Improved this time by changing: input magnet(s) of n556 To: 4.11e-08m
In 214th Iteration, Delay Improved to: 5.74822e-08ns
In 215th Iteration, Delay Improved this time by changing: output magnet(s) of Buffer_n279_0_n311 To: 4.11e-08m
In 215th Iteration, Delay Improved to: 5.74758e-08ns
In 216th Iteration, Delay Improved this time by changing: output magnet(s) of Buffer_n189_0_n190 To: 4.11e-08m
In 216th Iteration, Delay Improved to: 5.74689e-08ns
In 217th Iteration, Delay Improved this time by changing: output magnet(s) of Buffer_ID15[15]_2_n194 To: 4.11e-08m
In 217th Iteration, Delay Improved to: 5.73896e-08ns
In 218th Iteration, Delay Improved this time by changing: output magnet(s) of Buffer_n582_1_n638 To: 4.11e-08m
In 218th Iteration, Delay Improved to: 5.73704e-08ns
In 219th Iteration, Delay Improved this time by changing: output magnet(s) of Buffer_n583_1_n611 To: 4.11e-08m
In 219th Iteration, Delay Improved to: 5.73518e-08ns
In 220th Iteration, Delay Improved this time by changing: output magnet(s) of n300 To: 4.11e-08m
In 220th Iteration, Delay Improved to: 5.73323e-08ns
In 221th Iteration, Delay Improved this time by changing: output magnet(s) of Buffer_n189_1_n196 To: 4.11e-08m
In 221th Iteration, Delay Improved to: 5.73194e-08ns
In 222th Iteration, Delay Improved this time by changing: output magnet(s) of Buffer_n279_1_n311 To: 4.11e-08m
In 222th Iteration, Delay Improved to: 5.73156e-08ns
In 223th Iteration, Delay Improved this time by changing: output magnet(s) of Buffer_n189_1_n190 To: 4.11e-08m
In 223th Iteration, Delay Improved to: 5.72996e-08ns
In 224th Iteration, Delay Improved this time by changing: output magnet(s) of Buffer_ID15[15]_3_n194 To: 4.11e-08m
In 224th Iteration, Delay Improved to: 5.72277e-08ns
In 225th Iteration, Delay Improved this time by changing: input magnet(s) of n577 To: 4.11e-08m
In 225th Iteration, Delay Improved to: 5.72222e-08ns
In 226th Iteration, Delay Improved this time by changing: output magnet(s) of Buffer_n300_0_n310 To: 4.11e-08m
In 226th Iteration, Delay Improved to: 5.71802e-08ns
In 227th Iteration, Delay Improved this time by changing: output magnet(s) of Buffer_ID16[16]_0_n331 To: 4.11e-08m
In 227th Iteration, Delay Improved to: 5.71706e-08ns
In 228th Iteration, Delay Improved this time by changing: input magnet(s) of n529 To: 4.11e-08m
In 228th Iteration, Delay Improved to: 5.71665e-08ns
In 229th Iteration, Delay Improved this time by changing: input magnet(s) of n384 To: 4.11e-08m
In 229th Iteration, Delay Improved to: 5.71566e-08ns
In 230th Iteration, Delay Improved this time by changing: output magnet(s) of Buffer_n279_2_n311 To: 4.11e-08m
In 230th Iteration, Delay Improved to: 5.71317e-08ns
In 231th Iteration, Delay Improved this time by changing: input magnet(s) of n638 To: 4.11e-08m
In 231th Iteration, Delay Improved to: 5.71019e-08ns
In 232th Iteration, Delay Improved this time by changing: output magnet(s) of Buffer_n583_2_n611 To: 4.11e-08m
In 232th Iteration, Delay Improved to: 5.70931e-08ns
In 233th Iteration, Delay Improved this time by changing: output magnet(s) of Buffer_n300_0_n385 To: 4.11e-08m
In 233th Iteration, Delay Improved to: 5.70868e-08ns
In 234th Iteration, Delay Improved this time by changing: output magnet(s) of Buffer_n300_0_n379 To: 4.11e-08m
In 234th Iteration, Delay Improved to: 5.70828e-08ns
In 235th Iteration, Delay Improved this time by changing: input magnet(s) of n591 To: 4.11e-08m
In 235th Iteration, Delay Improved to: 5.70779e-08ns
In 236th Iteration, Delay Improved this time by changing: output magnet(s) of Buffer_n556_2_n595 To: 4.11e-08m
In 236th Iteration, Delay Improved to: 5.70492e-08ns
In 237th Iteration, Delay Improved this time by changing: output magnet(s) of Buffer_n300_1_n310 To: 4.11e-08m
In 237th Iteration, Delay Improved to: 5.69996e-08ns
In 238th Iteration, Delay Improved this time by changing: output magnet(s) of Buffer_n582_0_n583 To: 4.11e-08m
In 238th Iteration, Delay Improved to: 5.69994e-08ns
In 239th Iteration, Delay Improved this time by changing: output magnet(s) of Buffer_ID16[16]_1_n331 To: 4.11e-08m
In 239th Iteration, Delay Improved to: 5.69938e-08ns
In 240th Iteration, Delay Improved this time by changing: output magnet(s) of Buffer_n270_0_n271 To: 4.11e-08m
In 240th Iteration, Delay Improved to: 5.69629e-08ns
In 241th Iteration, Delay Improved this time by changing: output magnet(s) of n268 To: 4.11e-08m
In 241th Iteration, Delay Improved to: 5.69398e-08ns
In 242th Iteration, Delay Improved this time by changing: output magnet(s) of Buffer_ID10[10]_1_n276 To: 4.11e-08m
In 242th Iteration, Delay Improved to: 5.69269e-08ns
In 243th Iteration, Delay Improved this time by changing: input magnet(s) of OD6[236] To: 4.11e-08m
In 243th Iteration, Delay Improved to: 5.6917e-08ns
In 244th Iteration, Delay Improved this time by changing: input magnet(s) of n595 To: 4.11e-08m
In 244th Iteration, Delay Improved to: 5.69141e-08ns
In 245th Iteration, Delay Improved this time by changing: output magnet(s) of Buffer_ID16[16]_0_n322 To: 4.11e-08m
In 245th Iteration, Delay Improved to: 5.68543e-08ns
In 246th Iteration, Delay Improved this time by changing: output magnet(s) of Buffer_n79_0_n330 To: 4.11e-08m
In 246th Iteration, Delay Improved to: 5.68376e-08ns
In 247th Iteration, Delay Improved this time by changing: input magnet(s) of n313 To: 4.11e-08m
In 247th Iteration, Delay Improved to: 5.68341e-08ns
In 248th Iteration, Delay Improved this time by changing: output magnet(s) of Buffer_n583_0_n592 To: 4.11e-08m
In 248th Iteration, Delay Improved to: 5.68259e-08ns
In 249th Iteration, Delay Improved this time by changing: output magnet(s) of Buffer_ID16[16]_2_n331 To: 4.11e-08m
In 249th Iteration, Delay Improved to: 5.68139e-08ns
In 250th Iteration, Delay Improved this time by changing: output magnet(s) of Buffer_n279_0_n386 To: 4.11e-08m
In 250th Iteration, Delay Improved to: 5.68077e-08ns
In 251th Iteration, Delay Improved this time by changing: output magnet(s) of Buffer_n300_1_n385 To: 4.11e-08m
In 251th Iteration, Delay Improved to: 5.68035e-08ns
In 252th Iteration, Delay Improved this time by changing: output magnet(s) of n638 To: 4.11e-08m
In 252th Iteration, Delay Improved to: 5.67947e-08ns
In 253th Iteration, Delay Improved this time by changing: output magnet(s) of Buffer_n300_1_n379 To: 4.11e-08m
In 253th Iteration, Delay Improved to: 5.6777e-08ns
In 254th Iteration, Delay Improved this time by changing: output magnet(s) of n384 To: 4.11e-08m
In 254th Iteration, Delay Improved to: 5.67624e-08ns
In 255th Iteration, Delay Improved this time by changing: output magnet(s) of Buffer_n600_0_n606 To: 4.11e-08m
In 255th Iteration, Delay Improved to: 5.67508e-08ns
In 256th Iteration, Delay Improved this time by changing: output magnet(s) of Buffer_n279_0_n375 To: 4.11e-08m
In 256th Iteration, Delay Improved to: 5.67344e-08ns
In 257th Iteration, Delay Improved this time by changing: output magnet(s) of Buffer_ID16[16]_1_n322 To: 4.11e-08m
In 257th Iteration, Delay Improved to: 5.67213e-08ns
In 258th Iteration, Delay Improved this time by changing: output magnet(s) of Buffer_n79_0_n323 To: 4.11e-08m
In 258th Iteration, Delay Improved to: 5.66939e-08ns
In 259th Iteration, Delay Improved this time by changing: output magnet(s) of Buffer_n79_1_n330 To: 4.11e-08m
In 259th Iteration, Delay Improved to: 5.6688e-08ns
In 260th Iteration, Delay Improved this time by changing: output magnet(s) of Buffer_n600_0_n614 To: 4.11e-08m
In 260th Iteration, Delay Improved to: 5.66748e-08ns
In 261th Iteration, Delay Improved this time by changing: output magnet(s) of Buffer_n583_1_n592 To: 4.11e-08m
In 261th Iteration, Delay Improved to: 5.66533e-08ns
In 262th Iteration, Delay Improved this time by changing: output magnet(s) of Buffer_n279_1_n386 To: 4.11e-08m
In 262th Iteration, Delay Improved to: 5.66525e-08ns
In 263th Iteration, Delay Improved this time by changing: output magnet(s) of Buffer_ID16[16]_3_n331 To: 4.11e-08m
In 263th Iteration, Delay Improved to: 5.66476e-08ns
In 264th Iteration, Delay Improved this time by changing: output magnet(s) of Buffer_n300_2_n385 To: 4.11e-08m
In 264th Iteration, Delay Improved to: 5.66309e-08ns
In 265th Iteration, Delay Improved this time by changing: output magnet(s) of Buffer_n638_0_n648 To: 4.11e-08m
In 265th Iteration, Delay Improved to: 5.6628e-08ns
In 266th Iteration, Delay Improved this time by changing: input magnet(s) of n300 To: 4.11e-08m
In 266th Iteration, Delay Improved to: 5.66085e-08ns
In 267th Iteration, Delay Improved this time by changing: output magnet(s) of Buffer_n600_1_n606 To: 4.11e-08m
In 267th Iteration, Delay Improved to: 5.66084e-08ns
In 268th Iteration, Delay Improved this time by changing: input magnet(s) of n470 To: 4.11e-08m
In 268th Iteration, Delay Improved to: 5.66002e-08ns
In 269th Iteration, Delay Improved this time by changing: input magnet(s) of n199 To: 4.11e-08m
In 269th Iteration, Delay Improved to: 5.65889e-08ns
In 270th Iteration, Delay Improved this time by changing: input magnet(s) of n191 To: 4.11e-08m
In 270th Iteration, Delay Improved to: 5.65789e-08ns
In 271th Iteration, Delay Improved this time by changing: output magnet(s) of Buffer_n279_1_n375 To: 4.11e-08m
In 271th Iteration, Delay Improved to: 5.6562e-08ns
In 272th Iteration, Delay Improved this time by changing: output magnet(s) of Buffer_ID16[16]_2_n322 To: 4.11e-08m
In 272th Iteration, Delay Improved to: 5.65603e-08ns
In 273th Iteration, Delay Improved this time by changing: output magnet(s) of Buffer_n79_1_n323 To: 4.11e-08m
In 273th Iteration, Delay Improved to: 5.65514e-08ns
In 274th Iteration, Delay Improved this time by changing: input magnet(s) of n389 To: 4.11e-08m
In 274th Iteration, Delay Improved to: 5.65454e-08ns
In 275th Iteration, Delay Improved this time by changing: output magnet(s) of Buffer_ID20[20]_0_n120 To: 4.11e-08m
In 275th Iteration, Delay Improved to: 5.65369e-08ns
In 276th Iteration, Delay Improved this time by changing: output magnet(s) of Buffer_n583_0_n596 To: 4.11e-08m
In 276th Iteration, Delay Improved to: 5.65335e-08ns
In 277th Iteration, Delay Improved this time by changing: output magnet(s) of Buffer_n79_2_n330 To: 4.11e-08m
In 277th Iteration, Delay Improved to: 5.65155e-08ns
In 278th Iteration, Delay Improved this time by changing: output magnet(s) of Buffer_n583_2_n592 To: 4.11e-08m
In 278th Iteration, Delay Improved to: 5.64956e-08ns
In 279th Iteration, Delay Improved this time by changing: output magnet(s) of n313 To: 4.11e-08m
In 279th Iteration, Delay Improved to: 5.64927e-08ns
In 280th Iteration, Delay Improved this time by changing: output magnet(s) of Buffer_n279_2_n386 To: 4.11e-08m
In 280th Iteration, Delay Improved to: 5.6479e-08ns
In 281th Iteration, Delay Improved this time by changing: output magnet(s) of Buffer_ID16[16]_4_n331 To: 4.11e-08m
In 281th Iteration, Delay Improved to: 5.64683e-08ns
In 282th Iteration, Delay Improved this time by changing: output magnet(s) of Buffer_n638_1_n648 To: 4.11e-08m
In 282th Iteration, Delay Improved to: 5.63992e-08ns
In 283th Iteration, Delay Improved this time by changing: output magnet(s) of Buffer_n79_2_n323 To: 4.11e-08m
In 283th Iteration, Delay Improved to: 5.63896e-08ns
In 284th Iteration, Delay Improved this time by changing: output magnet(s) of Buffer_ID16[16]_3_n322 To: 4.11e-08m
In 284th Iteration, Delay Improved to: 5.63831e-08ns
In 285th Iteration, Delay Improved this time by changing: input magnet(s) of n583 To: 4.11e-08m
In 285th Iteration, Delay Improved to: 5.63731e-08ns
In 286th Iteration, Delay Improved this time by changing: input magnet(s) of n567 To: 4.11e-08m
In 286th Iteration, Delay Improved to: 5.63729e-08ns
In 287th Iteration, Delay Improved this time by changing: input magnet(s) of n352 To: 4.11e-08m
In 287th Iteration, Delay Improved to: 5.63321e-08ns
In 288th Iteration, Delay Improved this time by changing: input magnet(s) of n671 To: 4.11e-08m
In 288th Iteration, Delay Improved to: 5.63177e-08ns
In 289th Iteration, Delay Improved this time by changing: input magnet(s) of n275 To: 4.11e-08m
In 289th Iteration, Delay Improved to: 5.63056e-08ns
In 290th Iteration, Delay Improved this time by changing: output magnet(s) of Buffer_n638_2_n648 To: 4.11e-08m
In 290th Iteration, Delay Improved to: 5.62934e-08ns
In 291th Iteration, Delay Improved this time by changing: output magnet(s) of n470 To: 4.11e-08m
In 291th Iteration, Delay Improved to: 5.62625e-08ns
In 292th Iteration, Delay Improved this time by changing: output magnet(s) of n271 To: 4.11e-08m
In 292th Iteration, Delay Improved to: 5.62458e-08ns
In 293th Iteration, Delay Improved this time by changing: output magnet(s) of Buffer_ID10[10]_2_n276 To: 4.11e-08m
In 293th Iteration, Delay Improved to: 5.6237e-08ns
In 294th Iteration, Delay Improved this time by changing: output magnet(s) of Buffer_ID19[19]_0_n77 To: 4.11e-08m
In 294th Iteration, Delay Improved to: 5.6143e-08ns
In 295th Iteration, Delay Improved this time by changing: output magnet(s) of Buffer_n638_3_n648 To: 4.11e-08m
In 295th Iteration, Delay Improved to: 5.61346e-08ns
In 296th Iteration, Delay Improved this time by changing: output magnet(s) of Buffer_n469_0_n470 To: 4.11e-08m
In 296th Iteration, Delay Improved to: 5.61197e-08ns
In 297th Iteration, Delay Improved this time by changing: input magnet(s) of n271 To: 4.11e-08m
In 297th Iteration, Delay Improved to: 5.60985e-08ns
In 298th Iteration, Delay Improved this time by changing: output magnet(s) of Buffer_n525_3_n526 To: 4.11e-08m
In 298th Iteration, Delay Improved to: 5.60718e-08ns
In 299th Iteration, Delay Improved this time by changing: output magnet(s) of Buffer_ID10[10]_3_n276 To: 4.11e-08m
In 299th Iteration, Delay Improved to: 5.60612e-08ns
In 300th Iteration, Delay Improved this time by changing: output magnet(s) of Buffer_ID19[19]_1_n77 To: 4.11e-08m
In 300th Iteration, Delay Improved to: 5.60054e-08ns
In 301th Iteration, Delay Improved this time by changing: output magnet(s) of Buffer_n525_0_n537 To: 4.11e-08m
In 301th Iteration, Delay Improved to: 5.59922e-08ns
In 302th Iteration, Delay Improved this time by changing: input magnet(s) of n542 To: 4.11e-08m
In 302th Iteration, Delay Improved to: 5.59822e-08ns
In 303th Iteration, Delay Improved this time by changing: input magnet(s) of n612 To: 4.11e-08m
In 303th Iteration, Delay Improved to: 5.59814e-08ns
In 304th Iteration, Delay Improved this time by changing: output magnet(s) of n673 To: 4.11e-08m
In 304th Iteration, Delay Improved to: 5.59803e-08ns
In 305th Iteration, Delay Improved this time by changing: input magnet(s) of n648 To: 4.11e-08m
In 305th Iteration, Delay Improved to: 5.59634e-08ns
In 306th Iteration, Delay Improved this time by changing: output magnet(s) of Buffer_n583_1_n596 To: 4.11e-08m
In 306th Iteration, Delay Improved to: 5.59553e-08ns
In 307th Iteration, Delay Improved this time by changing: input magnet(s) of OD2[240] To: 4.11e-08m
In 307th Iteration, Delay Improved to: 5.59293e-08ns
In 308th Iteration, Delay Improved this time by changing: output magnet(s) of Buffer_n525_4_n526 To: 4.11e-08m
In 308th Iteration, Delay Improved to: 5.58955e-08ns
In 309th Iteration, Delay Improved this time by changing: output magnet(s) of Buffer_n672_0_n692 To: 4.11e-08m
In 309th Iteration, Delay Improved to: 5.58702e-08ns
In 310th Iteration, Delay Improved this time by changing: output magnet(s) of Buffer_n673_0_n678 To: 4.11e-08m
In 310th Iteration, Delay Improved to: 5.58409e-08ns
In 311th Iteration, Delay Improved this time by changing: output magnet(s) of Buffer_n525_1_n537 To: 4.11e-08m
In 311th Iteration, Delay Improved to: 5.58311e-08ns
In 312th Iteration, Delay Improved this time by changing: output magnet(s) of Buffer_n582_0_n620 To: 4.11e-08m
In 312th Iteration, Delay Improved to: 5.58011e-08ns
In 313th Iteration, Delay Improved this time by changing: output magnet(s) of Buffer_n583_0_n615 To: 4.11e-08m
In 313th Iteration, Delay Improved to: 5.57908e-08ns
In 314th Iteration, Delay Improved this time by changing: input magnet(s) of OD3[239] To: 4.11e-08m
In 314th Iteration, Delay Improved to: 5.57601e-08ns
In 315th Iteration, Delay Improved this time by changing: input magnet(s) of n553 To: 4.11e-08m
In 315th Iteration, Delay Improved to: 5.57531e-08ns
In 316th Iteration, Delay Improved this time by changing: output magnet(s) of n692 To: 4.11e-08m
In 316th Iteration, Delay Improved to: 5.57019e-08ns
In 317th Iteration, Delay Improved this time by changing: output magnet(s) of Buffer_n673_1_n678 To: 4.11e-08m
In 317th Iteration, Delay Improved to: 5.56647e-08ns
In 318th Iteration, Delay Improved this time by changing: output magnet(s) of Buffer_n582_1_n620 To: 4.11e-08m
In 318th Iteration, Delay Improved to: 5.5656e-08ns
In 319th Iteration, Delay Improved this time by changing: input magnet(s) of n398 To: 4.11e-08m
In 319th Iteration, Delay Improved to: 5.56274e-08ns
In 320th Iteration, Delay Improved this time by changing: output magnet(s) of Buffer_n411_0_n454 To: 4.11e-08m
In 320th Iteration, Delay Improved to: 5.56216e-08ns
In 321th Iteration, Delay Improved this time by changing: output magnet(s) of Buffer_n692_0_n705 To: 4.11e-08m
In 321th Iteration, Delay Improved to: 5.56123e-08ns
In 322th Iteration, Delay Improved this time by changing: output magnet(s) of Buffer_n156_1_n462 To: 4.11e-08m
In 322th Iteration, Delay Improved to: 5.56117e-08ns
In 323th Iteration, Delay Improved this time by changing: output magnet(s) of Buffer_n673_0_n674 To: 4.11e-08m
In 323th Iteration, Delay Improved to: 5.55895e-08ns
In 324th Iteration, Delay Improved this time by changing: input magnet(s) of n402 To: 4.11e-08m
In 324th Iteration, Delay Improved to: 5.55336e-08ns
In 325th Iteration, Delay Improved this time by changing: output magnet(s) of Buffer_n673_2_n678 To: 4.11e-08m
In 325th Iteration, Delay Improved to: 5.5506e-08ns
In 326th Iteration, Delay Improved this time by changing: output magnet(s) of Buffer_ID29[29]_8_n403 To: 4.11e-08m
In 326th Iteration, Delay Improved to: 5.54526e-08ns
In 327th Iteration, Delay Improved this time by changing: output magnet(s) of Buffer_n156_2_n462 To: 4.11e-08m
In 327th Iteration, Delay Improved to: 5.54482e-08ns
In 328th Iteration, Delay Improved this time by changing: output magnet(s) of Buffer_n692_1_n705 To: 4.11e-08m
In 328th Iteration, Delay Improved to: 5.54428e-08ns
In 329th Iteration, Delay Improved this time by changing: output magnet(s) of Buffer_n673_1_n674 To: 4.11e-08m
In 329th Iteration, Delay Improved to: 5.5424e-08ns
In 330th Iteration, Delay Improved this time by changing: input magnet(s) of n86 To: 4.11e-08m
In 330th Iteration, Delay Improved to: 5.53951e-08ns
In 331th Iteration, Delay Improved this time by changing: output magnet(s) of Buffer_n314_0_n315 To: 4.11e-08m
In 331th Iteration, Delay Improved to: 5.53705e-08ns
In 332th Iteration, Delay Improved this time by changing: input magnet(s) of n531 To: 4.11e-08m
In 332th Iteration, Delay Improved to: 5.53702e-08ns
In 333th Iteration, Delay Improved this time by changing: output magnet(s) of Buffer_ID17[17]_2_n91 To: 4.11e-08m
In 333th Iteration, Delay Improved to: 5.53653e-08ns
In 334th Iteration, Delay Improved this time by changing: output magnet(s) of Buffer_n673_3_n678 To: 4.11e-08m
In 334th Iteration, Delay Improved to: 5.53593e-08ns
In 335th Iteration, Delay Improved this time by changing: output magnet(s) of Buffer_ID16[16]_6_n78 To: 4.11e-08m
In 335th Iteration, Delay Improved to: 5.53409e-08ns
In 336th Iteration, Delay Improved this time by changing: output magnet(s) of n397 To: 4.11e-08m
In 336th Iteration, Delay Improved to: 5.53333e-08ns
In 337th Iteration, Delay Improved this time by changing: output magnet(s) of Buffer_ID29[29]_9_n403 To: 4.11e-08m
In 337th Iteration, Delay Improved to: 5.53249e-08ns
In 338th Iteration, Delay Improved this time by changing: output magnet(s) of Buffer_ID16[16]_6_n89 To: 4.11e-08m
In 338th Iteration, Delay Improved to: 5.52944e-08ns
In 339th Iteration, Delay Improved this time by changing: input magnet(s) of n92 To: 4.11e-08m
In 339th Iteration, Delay Improved to: 5.52868e-08ns
In 340th Iteration, Delay Improved this time by changing: output magnet(s) of Buffer_n525_2_n537 To: 4.11e-08m
In 340th Iteration, Delay Improved to: 5.5279e-08ns
In 341th Iteration, Delay Improved this time by changing: output magnet(s) of n529 To: 4.11e-08m
In 341th Iteration, Delay Improved to: 5.52747e-08ns
In 342th Iteration, Delay Improved this time by changing: output magnet(s) of Buffer_n692_2_n705 To: 4.11e-08m
In 342th Iteration, Delay Improved to: 5.52745e-08ns
In 343th Iteration, Delay Improved this time by changing: input magnet(s) of n467 To: 4.11e-08m
In 343th Iteration, Delay Improved to: 5.52739e-08ns
In 344th Iteration, Delay Improved this time by changing: output magnet(s) of Buffer_n673_2_n674 To: 4.11e-08m
In 344th Iteration, Delay Improved to: 5.5262e-08ns
In 345th Iteration, Delay Improved this time by changing: output magnet(s) of Buffer_n406_5_n455 To: 4.11e-08m
In 345th Iteration, Delay Improved to: 5.52615e-08ns
In 346th Iteration, Delay Improved this time by changing: input magnet(s) of n99 To: 4.11e-08m
In 346th Iteration, Delay Improved to: 5.52269e-08ns
In 347th Iteration, Delay Improved this time by changing: output magnet(s) of Buffer_n314_1_n315 To: 4.11e-08m
In 347th Iteration, Delay Improved to: 5.51971e-08ns
In 348th Iteration, Delay Improved this time by changing: output magnet(s) of Buffer_n673_4_n678 To: 4.11e-08m
In 348th Iteration, Delay Improved to: 5.51959e-08ns
In 349th Iteration, Delay Improved this time by changing: output magnet(s) of Buffer_n268_0_n479 To: 4.11e-08m
In 349th Iteration, Delay Improved to: 5.51469e-08ns
In 350th Iteration, Delay Improved this time by changing: output magnet(s) of Buffer_n411_1_n454 To: 4.11e-08m
In 350th Iteration, Delay Improved to: 5.51223e-08ns
In 351th Iteration, Delay Improved this time by changing: output magnet(s) of Buffer_n525_3_n537 To: 4.11e-08m
In 351th Iteration, Delay Improved to: 5.5105e-08ns
In 352th Iteration, Delay Improved this time by changing: output magnet(s) of Buffer_n673_3_n674 To: 4.11e-08m
In 352th Iteration, Delay Improved to: 5.51012e-08ns
In 353th Iteration, Delay Improved this time by changing: output magnet(s) of Buffer_n692_3_n705 To: 4.11e-08m
In 353th Iteration, Delay Improved to: 5.50893e-08ns
In 354th Iteration, Delay Improved this time by changing: output magnet(s) of n455 To: 4.11e-08m
In 354th Iteration, Delay Improved to: 5.50777e-08ns
In 355th Iteration, Delay Improved this time by changing: output magnet(s) of Buffer_n529_0_n536 To: 4.11e-08m
In 355th Iteration, Delay Improved to: 5.50586e-08ns
In 356th Iteration, Delay Improved this time by changing: output magnet(s) of Buffer_n665_0_OD16[226] To: 4.11e-08m
In 356th Iteration, Delay Improved to: 5.50411e-08ns
In 357th Iteration, Delay Improved this time by changing: output magnet(s) of Buffer_n268_1_n479 To: 4.11e-08m
In 357th Iteration, Delay Improved to: 5.50288e-08ns
In 358th Iteration, Delay Improved this time by changing: output magnet(s) of Buffer_n673_5_n678 To: 4.11e-08m
In 358th Iteration, Delay Improved to: 5.49884e-08ns
In 359th Iteration, Delay Improved this time by changing: input magnet(s) of n540 To: 4.11e-08m
In 359th Iteration, Delay Improved to: 5.49815e-08ns
In 360th Iteration, Delay Improved this time by changing: output magnet(s) of Buffer_n411_2_n454 To: 4.11e-08m
In 360th Iteration, Delay Improved to: 5.49738e-08ns
In 361th Iteration, Delay Improved this time by changing: output magnet(s) of n655 To: 4.11e-08m
In 361th Iteration, Delay Improved to: 5.49602e-08ns
